feature_pair,num_peaks,lag,influence,peak_indices
"('CONT_DEV|6', 'CURRENT|6')",0,10000,0.5,[]
"('CMD_SPEED|1', 'CURRENT|6')",0,10000,0.5,[]
"('CMD_SPEED|2', 'CURRENT|6')",0,10000,0.5,[]
"('CMD_SPEED|3', 'CURRENT|6')",168,10000,0.5,"[39424, 39425, 39426, 39427, 39428, 39429, 39430, 39407, 12442, 12443, 12444, 12445, 12446, 16077, 16078, 16081, 16082, 16083, 16085, 16087, 16089, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13645, 13647, 13648, 15189, 15190, 15191, 15195, 39292, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 17383, 39400, 39401, 39402, 39403, 39404, 39405, 39406, 39408, 39409, 39410, 39411, 39412, 39413, 39414, 39415, 39416, 39417, 39418, 39419, 39420, 39421, 39422, 39423]"
"('CMD_SPEED|6', 'CURRENT|6')",0,10000,0.5,[]
"('TORQUE_FFW|1', 'CURRENT|6')",0,10000,0.5,[]
"('TORQUE_FFW|2', 'CURRENT|6')",0,10000,0.5,[]
"('TORQUE_FFW|3', 'CURRENT|6')",0,10000,0.5,[]
"('TORQUE_FFW|6', 'CURRENT|6')",0,10000,0.5,[]
"('ENC1_POS|1', 'CURRENT|6')",0,10000,0.5,[]
"('ENC1_POS|2', 'CURRENT|6')",0,10000,0.5,[]
"('ENC1_POS|3', 'CURRENT|6')",0,10000,0.5,[]
"('ENC1_POS|6', 'CURRENT|6')",0,10000,0.5,[]
"('ENC2_POS|1', 'CURRENT|6')",0,10000,0.5,[]
"('ENC2_POS|2', 'CURRENT|6')",0,10000,0.5,[]
"('ENC2_POS|3', 'CURRENT|6')",0,10000,0.5,[]
"('ENC2_POS|6', 'CURRENT|6')",0,10000,0.5,[]
"('LOAD|1', 'CURRENT|6')",363,10000,0.9,"[20536, 12441, 12442, 12451, 12453, 12454, 12455, 12456, 12457, 12458, 12459, 12460, 26887, 26888, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 39289, 39290, 39291, 39292, 39293, 39294, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 39400, 39401, 39402, 39403, 39404, 39405, 39406, 10735, 39408, 39409, 39410, 39411, 39412, 10736, 10737, 10743, 10744, 10738, 10739, 10740, 39413, 39414, 18942, 39422, 18944, 18945, 18946, 39427, 39428, 39429, 39430, 39423, 18943, 39424, 39425, 39426, 15191, 15192, 15201, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 10741, 33563, 33564, 10742, 33567, 33568, 33569, 33570, 23330, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27463, 27464, 27467, 27468, 27469, 27470, 27471, 27472, 27473, 27474, 27475, 27476, 15189, 15190, 27477, 27478, 27479, 27480, 27481, 27482, 27483, 27484, 27485, 27486, 27489, 27490, 15197, 15198, 15199, 15200, 27495, 27496, 27497, 27498, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 27499, 27500, 27501, 27502, 27509, 27510, 27511, 27512, 27513, 17383, 17384, 17385, 17386, 17387, 17388, 17389, 25777, 25778, 25779, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 22007, 22008, 22009, 22010, 22011, 22012, 22017, 22018, 22019, 22020, 22021, 39407, 16023, 16024, 16033, 16034, 39415, 16035, 16036, 16037, 16038, 39416, 16039, 16040, 16041, 16042, 39417, 16049, 39418, 16050, 16051, 16052, 16053, 39419, 16054, 16055, 16056, 16057, 39420, 16058, 39421, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089]"
"('LOAD|2', 'CURRENT|6')",0,10000,0.9,[]
"('LOAD|3', 'CURRENT|6')",502,10000,0.9,"[24576, 24577, 24578, 24579, 24580, 24581, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 20549, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12454, 12455, 12456, 12457, 12458, 12459, 12460, 26887, 26888, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 26909, 26910, 39289, 39290, 39291, 39292, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 39400, 39401, 39402, 39403, 39404, 39409, 39410, 39411, 39412, 39413, 39414, 39415, 39416, 39417, 39418, 39419, 39420, 39421, 39422, 39423, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 39427, 39428, 39429, 39430, 33525, 33526, 33527, 33528, 33529, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33546, 33547, 33548, 33549, 33550, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33561, 33562, 33563, 33564, 33565, 33566, 33567, 33568, 33569, 33570, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27461, 27462, 27463, 27464, 27465, 27466, 27467, 27468, 27469, 27470, 27471, 27472, 27473, 27474, 27475, 27476, 15189, 15190, 15191, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 27478, 15200, 27480, 27481, 27482, 27483, 27484, 27485, 27486, 15199, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 27499, 27500, 27501, 27502, 27503, 27504, 27505, 27506, 27507, 27508, 27509, 27510, 27511, 27512, 27513, 33571, 33572, 17378, 17379, 17380, 17381, 17382, 17383, 17384, 17385, 17386, 17387, 17388, 17389, 27477, 27479, 27487, 27488, 27489, 18942, 27490, 18943, 27491, 27492, 27493, 27494, 27495, 27496, 27497, 27498, 25762, 25763, 25764, 25765, 25766, 25767, 25768, 25769, 25770, 25771, 25772, 25773, 25774, 25775, 25776, 25777, 25778, 25779, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13643, 13644, 13645, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 22007, 22008, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016, 22017, 22018, 22019, 22020, 22021, 16023, 16024, 16025, 16026, 16027, 16028, 16029, 16030, 16031, 16032, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 16049, 16050, 16051, 16052, 16053, 16054, 16055, 16056, 16057, 16058, 16059, 16060, 16061, 16062, 16063, 16064, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089, 39424, 39425, 39426, 24565, 24566, 24567, 24568, 24569, 24570, 24571, 24572, 24573, 24574, 24575]"
"('LOAD|6', 'CURRENT|6')",430,10000,0.9,"[24576, 24577, 24578, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12454, 12455, 12456, 12457, 12458, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 39400, 10729, 10730, 10731, 10732, 10733, 10734, 39407, 10735, 39409, 39410, 39411, 39412, 10736, 10737, 39415, 10738, 10739, 10740, 10741, 10742, 39416, 39422, 39418, 39419, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 39424, 15197, 15198, 15199, 33527, 33528, 33529, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33546, 33547, 33548, 33549, 33550, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33561, 33562, 33563, 33564, 33565, 33566, 33567, 33568, 33569, 33570, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 27465, 27466, 27467, 27468, 27469, 27470, 27471, 27472, 27473, 27474, 27475, 27476, 27477, 27478, 15191, 15192, 15193, 15194, 15195, 15196, 27479, 27480, 27481, 15200, 27488, 27482, 27483, 27484, 15205, 27485, 27486, 27487, 15201, 15202, 15203, 15204, 15206, 15207, 15208, 27497, 27498, 27499, 27500, 27501, 27502, 27503, 27504, 17381, 17382, 17383, 17384, 17385, 17386, 27489, 27490, 27491, 27492, 27493, 27494, 27495, 27496, 25763, 25764, 25765, 25766, 25767, 25768, 25769, 25770, 25771, 25772, 25773, 25774, 25775, 25776, 13637, 13638, 13639, 13640, 13641, 13642, 13643, 13644, 13645, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016, 22017, 22018, 22019, 22020, 39401, 39402, 39403, 39404, 39405, 39406, 39408, 39413, 16027, 16028, 16029, 39414, 16030, 16031, 16032, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 16049, 16050, 16051, 16052, 16053, 16054, 16055, 16056, 16057, 16058, 39420, 16059, 16060, 16061, 16062, 39421, 16063, 16064, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 39423, 39417, 24567, 24568, 24569, 24570, 24571, 24572, 24573, 24574, 24575]"
"('ENC_POS|1', 'CURRENT|6')",0,10000,0.9,[]
"('ENC_POS|2', 'CURRENT|6')",0,10000,0.9,[]
"('ENC_POS|3', 'CURRENT|6')",0,10000,0.9,[]
"('ENC_POS|6', 'CURRENT|6')",0,10000,0.9,[]
"('CTRL_DIFF2|1', 'CURRENT|6')",519,10000,0.9,"[24576, 24577, 24578, 24579, 24580, 24581, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 20549, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12454, 12455, 12456, 12457, 12458, 12459, 12460, 26887, 26888, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 26909, 26910, 39289, 39290, 39291, 39292, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39417, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 10728, 10729, 10730, 10731, 10732, 10733, 10734, 10735, 39408, 39409, 10736, 39411, 39412, 10737, 10738, 10743, 10744, 10739, 10740, 39413, 10741, 39415, 39422, 39423, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 39427, 39428, 39429, 39430, 39424, 15190, 33525, 33526, 33527, 33528, 33529, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33546, 33547, 33548, 33549, 33550, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33561, 33562, 33563, 33564, 33565, 33566, 33567, 33568, 33569, 23330, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27461, 27462, 27463, 27464, 27465, 27466, 27467, 27468, 27469, 27470, 27471, 27472, 27473, 27474, 27475, 27476, 15189, 27477, 27478, 27479, 27480, 27481, 27482, 27483, 27484, 27485, 27486, 15191, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 27499, 27500, 27501, 27502, 27503, 27504, 27505, 27506, 27507, 27508, 27509, 27510, 27511, 27512, 27513, 33570, 33571, 33572, 17378, 17379, 17380, 17381, 17382, 17383, 17384, 17385, 17386, 17387, 17388, 17389, 27487, 27488, 27489, 18942, 27490, 18943, 27491, 27492, 27493, 27494, 27495, 27496, 27497, 27498, 25762, 25763, 25764, 25765, 25766, 25767, 25768, 25769, 25770, 25771, 25772, 25773, 25774, 25775, 25776, 25777, 25778, 25779, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13643, 13644, 13645, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 22007, 22008, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016, 22017, 22018, 22019, 22020, 22021, 39400, 39401, 39402, 39403, 39404, 39405, 39406, 39407, 39410, 16023, 16024, 16025, 16026, 16027, 16028, 16029, 16030, 16031, 16032, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 39416, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 39418, 16049, 16050, 16051, 16052, 16053, 16054, 16055, 16056, 16057, 39420, 16058, 16059, 16060, 16061, 39421, 16062, 16063, 16064, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089, 39425, 39426, 10742, 24565, 24566, 24567, 24568, 24569, 24570, 24571, 24572, 24573, 24574, 24575]"
"('CTRL_DIFF2|2', 'CURRENT|6')",522,10000,0.9,"[24576, 24577, 24578, 24579, 24580, 24581, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 20549, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12454, 12455, 12456, 12457, 12458, 12459, 12460, 26887, 26888, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 26909, 26910, 39289, 39290, 39291, 39292, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 10728, 10729, 10730, 10731, 10732, 10733, 10734, 10735, 39408, 39409, 39410, 39411, 39412, 10736, 10737, 10743, 10744, 10738, 10739, 10740, 39413, 39414, 18942, 39422, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 39427, 39428, 39429, 39430, 39424, 39425, 15190, 33525, 33526, 33527, 33528, 33529, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33546, 33547, 33548, 33549, 33550, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33561, 33562, 33563, 33564, 33565, 33566, 33567, 10741, 33569, 23330, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27461, 27462, 27463, 27464, 27465, 27466, 27467, 27468, 27469, 27470, 27471, 27472, 27473, 27474, 27475, 27476, 15189, 27477, 27478, 27479, 27480, 27481, 27482, 27483, 27484, 27485, 27486, 15191, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 27499, 27500, 27501, 27502, 27503, 27504, 27505, 27506, 27507, 27508, 27509, 27510, 27511, 27512, 27513, 33570, 33571, 33572, 17378, 17379, 17380, 17381, 17382, 17383, 17384, 17385, 17386, 17387, 17388, 17389, 27487, 27488, 27489, 27490, 18943, 27491, 27492, 27493, 27494, 27495, 27496, 27497, 27498, 25762, 25763, 25764, 25765, 25766, 25767, 25768, 25769, 25770, 25771, 25772, 25773, 25774, 25775, 25776, 25777, 25778, 25779, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13643, 13644, 13645, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 22007, 22008, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016, 22017, 22018, 22019, 22020, 22021, 39400, 39401, 39402, 39403, 39404, 39405, 39406, 39407, 16023, 16024, 16025, 16026, 16027, 16028, 16029, 16030, 16031, 16032, 16033, 16034, 39415, 16035, 16036, 16037, 16038, 39416, 16039, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 39418, 16048, 16049, 16050, 16051, 39419, 16052, 16053, 16054, 16055, 39420, 16056, 16057, 16058, 16059, 39421, 16060, 16061, 16062, 16063, 16064, 16065, 16066, 16067, 16068, 39423, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089, 39426, 10742, 39417, 24565, 24566, 24567, 24568, 24569, 24570, 24571, 24572, 24573, 24574, 24575]"
"('CTRL_DIFF2|3', 'CURRENT|6')",518,10000,0.9,"[24576, 24577, 24578, 24579, 24580, 24581, 20536, 20537, 20538, 20539, 20540, 20541, 20542, 20543, 20544, 20545, 20546, 20547, 20548, 20549, 12438, 12439, 12440, 12441, 12442, 12443, 12444, 12445, 12446, 12447, 12448, 12449, 12450, 12451, 12452, 12453, 12454, 12455, 12456, 12457, 12458, 12459, 12460, 26887, 26888, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 26909, 26910, 39289, 39290, 39291, 39292, 39293, 39294, 39295, 39296, 39297, 39298, 39299, 39300, 39301, 39302, 39303, 39304, 39305, 39306, 39307, 39308, 39309, 39310, 39311, 39312, 39313, 39314, 39315, 39316, 39317, 39318, 39319, 39320, 39321, 39322, 39323, 39324, 39325, 39326, 39327, 39328, 39329, 39330, 39331, 39332, 39333, 39334, 39335, 39336, 39337, 39338, 39339, 39340, 39341, 39342, 39343, 39344, 39345, 39346, 39347, 39348, 39349, 39350, 39351, 39352, 39353, 39354, 39355, 39356, 39357, 39358, 39359, 39360, 39361, 39362, 39363, 39364, 39365, 39366, 39367, 39368, 39369, 39370, 39371, 39372, 39373, 39374, 39375, 39376, 39377, 39378, 39379, 39380, 39381, 39382, 39383, 39384, 39385, 39386, 39387, 39388, 39389, 39390, 39391, 39392, 39393, 39394, 39395, 39396, 39397, 39398, 39399, 10728, 10729, 10730, 10731, 10732, 10733, 10734, 10735, 39408, 39409, 39410, 39411, 39412, 10736, 10737, 10743, 10738, 10739, 10740, 39413, 39414, 39415, 39422, 39423, 18944, 18945, 18946, 18947, 18948, 18949, 18950, 18951, 18952, 18953, 18954, 39427, 39428, 39429, 39430, 39424, 15190, 33525, 33526, 33527, 33528, 33529, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 33543, 33544, 33545, 33546, 33547, 33548, 33549, 33550, 33551, 33552, 33553, 33554, 33555, 33556, 33557, 33558, 33559, 33560, 33561, 33562, 33563, 33564, 33565, 33566, 33567, 33568, 33569, 23330, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27461, 27462, 27463, 27464, 27465, 27466, 27467, 27468, 27469, 27470, 27472, 27473, 27474, 15189, 27477, 27478, 27479, 27480, 27481, 27482, 27483, 27484, 27485, 27486, 15191, 15192, 15193, 15194, 15195, 15196, 15197, 15198, 15199, 15200, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 27499, 27500, 27501, 27502, 27503, 27504, 27505, 27506, 27507, 27508, 27509, 27510, 27511, 27512, 27513, 33570, 33571, 33572, 17378, 17379, 17380, 17381, 17382, 17383, 17384, 17385, 17386, 17387, 17388, 17389, 27487, 27488, 27489, 18942, 27490, 18943, 27491, 27492, 27493, 27494, 27495, 27496, 27497, 27498, 25762, 25763, 25764, 25765, 25766, 25767, 25768, 25769, 25770, 25771, 25772, 25773, 25774, 25775, 25776, 25777, 25779, 13635, 13636, 13637, 13638, 13639, 13640, 13641, 13642, 13643, 13644, 13645, 13646, 13647, 13648, 13649, 13650, 13651, 13652, 13653, 13654, 13655, 13656, 13657, 22007, 22008, 22009, 22010, 22011, 22012, 22013, 22014, 22015, 22016, 22017, 22018, 22019, 22020, 22021, 39400, 39401, 39402, 39403, 39404, 39405, 39406, 39407, 16023, 16024, 16025, 16026, 16027, 16028, 16029, 16030, 16031, 16032, 16033, 16034, 16035, 16036, 16037, 16038, 16039, 39416, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 39418, 16049, 16050, 16051, 16052, 39419, 16053, 16054, 16055, 16056, 39420, 16057, 16058, 16059, 16060, 39421, 16061, 16062, 16063, 16064, 16065, 16066, 16067, 16068, 16069, 16070, 16071, 16072, 16073, 16074, 16075, 16076, 16077, 16078, 16079, 16080, 16081, 16082, 16083, 16084, 16085, 16086, 16087, 16088, 16089, 39425, 39426, 10741, 39417, 24565, 24566, 24567, 24568, 24569, 24570, 24571, 24572, 24573, 24574, 24575]"
"('CTRL_DIFF2|6', 'CURRENT|6')",0,10000,0.9,[]
"('TORQUE|1', 'CURRENT|6')",196,10000,0.9,"[22016, 22017, 22018, 22019, 22020, 22021, 27487, 27488, 27489, 27492, 27493, 27494, 27495, 27496, 27497, 27498, 22007, 22008, 16023, 16024, 16025, 16026, 16027, 16028, 16029, 16030, 16031, 16040, 16041, 16042, 16043, 16044, 16045, 16046, 16047, 16048, 16057, 16058, 16059, 15200, 16060, 16061, 16062, 16063, 16064, 15205, 33525, 33530, 33531, 33532, 33533, 33534, 33535, 33536, 33537, 33538, 33539, 33540, 33541, 33542, 26888, 26889, 26890, 26891, 26892, 26893, 26894, 26895, 26896, 26897, 26898, 26899, 26900, 33557, 26901, 26902, 26903, 26904, 26905, 26906, 26907, 26908, 26910, 33558, 33559, 33560, 33561, 33569, 23330, 23331, 23332, 23333, 23334, 23335, 23336, 23337, 23338, 23339, 23340, 23341, 23342, 23343, 23344, 23345, 27464, 27465, 27466, 33546, 27467, 27468, 27469, 27470, 33547, 27471, 27472, 27473, 27474, 27475, 27476, 27477, 27478, 27479, 27480, 27481, 27482, 27483, 27486, 15191, 15192, 15193, 15194, 15195, 33551, 15196, 15197, 15198, 15199, 33552, 15201, 15202, 15203, 15204, 33553, 15206, 15207, 15208, 27499, 33554, 27500, 27501, 27509, 27510, 33555, 27511, 27512, 27513, 33556, 17384, 17385, 17386, 17387, 17388, 17389, 33570, 33571, 33572, 17378, 17379, 17380, 17381, 17382, 17383, 10728, 10729, 10730, 10731, 10732, 10733, 10734, 10735, 10736, 10737, 10738, 10739, 10740, 10741, 10742, 10743, 10744, 22009, 22010, 22011, 22012, 22013, 22014, 22015]"
"('TORQUE|2', 'CURRENT|6')",1,10000,0.9,[24575]
